vp, block, trial, practice, featureBias, soundBias, direction, startFeature, overlap, response, RT
11, 1, 1, 1, 1, 3, 2, 2, 2, 2, 7962.000
11, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1666.000
11, 1, 3, 1, 2, 3, 2, 2, 1, 1, 984.000
11, 1, 4, 1, 1, 2, 2, 1, 2, 2, 102.000
11, 1, 5, 1, 2, 1, 1, 1, 2, 1, 5996.000
11, 1, 6, 1, 2, 1, 1, 2, 2, 1, 112.000
11, 1, 7, 1, 3, 2, 1, 2, 1, 2, 76.000
11, 1, 8, 1, 1, 3, 1, 2, 1, 1, 200.000
11, 1, 9, 1, 3, 2, 2, 2, 1, 2, 0.000
11, 1, 10, 1, 3, 2, 2, 1, 1, 2, 0.000
11, 1, 11, 1, 3, 3, 1, 1, 1, 2, 220.000
11, 1, 12, 1, 2, 1, 2, 2, 2, 1, 0.000
11, 2, 1, 0, 2, 3, 1, 2, 1, 1, 27.000
11, 2, 2, 0, 3, 3, 2, 1, 1, 2, 0.000
11, 2, 3, 0, 2, 3, 2, 2, 1, 2, 1.000
11, 2, 4, 0, 2, 2, 2, 2, 2, 2, 0.000
11, 2, 5, 0, 3, 2, 1, 2, 1, 2, 0.000
11, 2, 6, 0, 1, 1, 1, 1, 1, 1, 0.000
11, 2, 7, 0, 2, 3, 1, 1, 1, 2, 0.000
11, 2, 8, 0, 1, 3, 2, 2, 2, 2, 0.000
11, 2, 9, 0, 1, 2, 1, 2, 1, 1, 283.000
11, 2, 10, 0, 3, 2, 2, 1, 2, 2, 523.000
11, 2, 11, 0, 2, 2, 1, 2, 2, 2, 0.000
11, 2, 12, 0, 2, 3, 2, 1, 1, 2, 0.000
11, 2, 13, 0, 1, 2, 2, 2, 1, 1, 0.000
11, 2, 14, 0, 3, 1, 1, 2, 1, 2, 0.000
11, 2, 15, 0, 1, 1, 2, 2, 2, 1, 0.000
11, 2, 16, 0, 1, 3, 1, 1, 2, 1, 332.000
11, 2, 17, 0, 3, 3, 2, 2, 2, 2, 74.000
11, 2, 18, 0, 1, 2, 1, 1, 1, 1, 180.000
11, 2, 19, 0, 3, 3, 1, 2, 2, 2, 0.000
11, 2, 20, 0, 1, 2, 2, 1, 1, 1, 0.000
11, 2, 21, 0, 3, 1, 2, 2, 2, 2, 86.000
11, 2, 22, 0, 1, 1, 2, 1, 2, 1, 0.000
11, 2, 23, 0, 3, 3, 1, 1, 2, 2, 0.000
11, 2, 24, 0, 1, 1, 1, 2, 1, 1, 0.000
11, 2, 25, 0, 2, 1, 2, 1, 1, 2, 0.000
11, 2, 26, 0, 3, 1, 1, 1, 2, 2, 38.000
11, 2, 27, 0, 1, 3, 1, 2, 2, 1, 160.000
11, 2, 28, 0, 3, 1, 2, 1, 2, 2, 0.000
11, 2, 29, 0, 3, 2, 1, 1, 1, 2, 0.000
11, 2, 30, 0, 2, 1, 2, 2, 1, 1, 0.000
11, 2, 31, 0, 2, 1, 1, 1, 2, 1, 0.000
11, 2, 32, 0, 1, 3, 2, 1, 1, 1, 313.000
11, 2, 33, 0, 2, 2, 2, 1, 2, 1, 43.000
11, 2, 34, 0, 2, 1, 1, 2, 2, 1, 0.000
11, 2, 35, 0, 2, 2, 1, 1, 1, 1, 0.000
11, 2, 36, 0, 3, 2, 2, 2, 1, 2, 0.000
11, 3, 1, 0, 3, 1, 2, 1, 1, 2, 0.000
11, 3, 2, 0, 3, 3, 2, 2, 2, 2, 0.000
11, 3, 3, 0, 1, 1, 2, 2, 2, 1, 0.000
11, 3, 4, 0, 3, 2, 1, 2, 2, 2, 0.000
11, 3, 5, 0, 1, 3, 2, 2, 2, 1, 0.000
11, 3, 6, 0, 1, 3, 1, 2, 2, 1, 0.000
11, 3, 7, 0, 1, 3, 1, 1, 2, 1, 0.000
11, 3, 8, 0, 1, 1, 2, 1, 1, 1, 0.000
11, 3, 9, 0, 3, 2, 2, 2, 1, 2, 0.000
11, 3, 10, 0, 2, 1, 1, 2, 1, 1, 0.000
11, 3, 11, 0, 3, 2, 1, 1, 2, 2, 0.000
11, 3, 12, 0, 2, 1, 2, 2, 2, 1, 0.000
11, 3, 13, 0, 2, 2, 2, 2, 1, 1, 0.000
11, 3, 14, 0, 2, 3, 1, 2, 2, 1, 0.000
11, 3, 15, 0, 2, 2, 1, 2, 1, 1, 0.000
11, 3, 16, 0, 2, 3, 2, 2, 2, 1, 0.000
11, 3, 17, 0, 3, 1, 2, 2, 2, 2, 0.000
