,vp,block,trial,practice,featureBias,soundBias,direction,startFeature,overlap,response,RT
1457,4,5,6,0,1,3,2,1,2,2,5756.0
4090,10,4,11,0,3,3,1,1,1,1,5712.0
6481,15,9,2,0,2,2,1,2,2,2,5525.0
4513,11,3,26,0,2,1,2,1,2,2,5418.0
5366,13,2,27,0,3,3,1,1,1,1,5277.0
8015,19,2,12,0,3,1,1,1,1,1,5225.0
7748,18,7,9,0,3,2,2,1,1,1,5173.0
8123,19,5,12,0,3,1,1,1,1,1,5069.0
7592,18,2,33,0,2,2,1,1,1,1,5059.0
7671,18,5,4,0,1,2,1,1,2,2,5042.0
8371,19,12,8,0,1,3,2,1,1,2,4965.0
1857,5,3,34,0,1,3,1,1,1,2,4870.0
7720,18,6,17,0,1,3,2,2,2,1,4803.0
8178,19,6,31,0,3,2,2,2,2,1,4801.0
1348,4,2,5,0,3,1,1,1,2,2,4785.0
8855,20,13,12,0,1,1,1,1,2,2,4713.0
5820,14,3,1,0,2,3,2,1,2,1,4610.0
1396,4,3,17,0,1,3,1,2,1,1,4609.0
7661,18,4,30,0,1,1,2,2,2,2,4588.0
1362,4,2,19,0,1,1,2,1,1,2,4574.0
